id,description,name
64b529c74b8489cb649636bc,Test Demo création d'une organisation,TestDemo
64b50c84cea9c1b460cd2e83,tests,Test API CA
64b267ce7c9eced3c283ce12,Nous vous proposons notre expertise pour la création d'agents conversationnels et de chatbots intelligents capables de répondre de manière autonome aux questions de vos clients et utilisateurs.,Amabot
64b033a24aef71ff29004415,Coopérative qui vise à doter les jeunes chercheurs des moyens dont ils ont besoin pour réaliser des recherche de premier rang.,Heretica
64b00d7664d7c463599052cb,CENTRE DE FORMATION PAR ALTERNANCE,MFR OFA TALMONT
64b00a06671035302229cf20,centre de formation par alternance,GUILLET
64aff32c46d5742ac99e07ba,"[KIWhatsapp](https://www.kingwhatsapp.com/)
[King KIWhatsapp
](https://my.bio/KingWhatsapp)
[KingKIWhatsapp
](https://about.me/kingwhatsapp)
[KingWhatsapp](https://social.msdn.microsoft.com/Profile/King%20Whatsapp)

[king whatsapp
](https://groups.google.com/g/kingwhatsapp/c/oaQ4AD2fS-U)
[whatsapp king
](https://www.pinterest.com/King_Whatsapp/)
[KIWhatsapp
](https://twitter.com/king_kiwhatsapp)
[kiwhatsapp
](https://substack.com/profile/156666088-king-kiwhatsapp?utm_source=profile-page)
[KingWhatsapp](https://www.linkedin.com/in/kingwhatsapp/)

[kiwhatsapp](https://medium.com/@KingWhatsapp)

[kiwhatsappking](https://www.mixcloud.com/KingWhatsapp/)

[king whatsapp
](https://allmylinks.com/kingwhatsapp)
",King KIWhatsapp
64afccbaf195ffd3df757c33,centre communal d'action sociale,CCAS LES AVENIERES VEYRINS-THUELLIN
64afc8048e3ad34d60548644,Commune,LES AVENIERES VEYRINS-THUELLIN
64afc639d824c5393556be92,BrainForce,BrainForce
64afbc06a4b302a111a27363,"Le SDEC ÉNERGIE, le service public de l'énergie dans le Calvados

Réunissant 515 communes du département du Calvados et 9 intercommunalités au 1er janvier 2022, le SDEC ÉNERGIE, Syndicat Départemental d’Energies du Calvados est aujourd’hui un acteur public majeur des enjeux énergétiques du département.
Compétences du SDEC ÉNERGIE
 

Le SDEC ÉNERGIE agit pour la transition énergétique en accompagnant les collectivités locales depuis la production d’énergie (construction de réseaux de chaleur à partir de bois énergie, développement de centrales photovoltaïques solaires,...), en passant par la distribution (organisation des services publics de l’électricité et du gaz, renforcement, effacement et construction des réseaux publics d'électricité,...), jusqu’à l’utilisation (éclairage économique et intelligent, Smart Grids, infrastructures de recharge pour véhicules à faible émission de CO2 : électriques, hybrides, hydrogène rechargeables, Bio GNV,...).

Développeur de projets, porteur des valeurs du service public, le SDEC ÉNERGIE revendique son statut d'aménageur responsable, privilégiant la synergie des territoires ruraux et urbains, attaché à une qualité de service équitable en tout point du département.",syndicat départemental d'énergie du Calvados
64af395dc4fc6d2094205d47,"L'équipe de WebFiner est composée d'experts hautement qualifiés dans chacun de ces domaines clés, ce qui leur permet d'offrir des services de haute qualité à leurs clients. Que vous soyez une petite entreprise locale ou une grande entreprise internationale, WebFiner est là pour vous aider à atteindre vos objectifs en ligne.

En ce qui concerne la création de sites web, l'équipe de WebFiner est spécialisée dans la conception et le développement de sites web professionnels et attrayants. Ils travaillent en étroite collaboration avec leurs clients pour comprendre leurs besoins spécifiques et créer des sites web sur mesure qui correspondent à leur identité de marque et à leurs objectifs commerciaux. Que vous ayez besoin d'un site vitrine, d'une boutique en ligne ou d'un site web complexe, WebFiner peut le réaliser.

Pour le référencement naturel et payant (SEO/SEA), WebFiner est expert dans l'optimisation des sites web pour les moteurs de recherche. Ils effectuent une analyse approfondie des mots clés pertinents pour votre entreprise et mettent en œuvre des stratégies efficaces pour améliorer le classement de votre site dans les résultats de recherche. De plus, ils peuvent gérer des campagnes de publicité en ligne payante pour augmenter la visibilité de votre entreprise sur les moteurs de recherche.

Le community management est un autre domaine clé d'expertise de WebFiner. Leur équipe comprend des professionnels des médias sociaux qui peuvent gérer efficacement vos comptes sur les différentes plateformes sociales. Ils peuvent créer et partager du contenu attrayant, interagir avec votre audience, gérer les commentaires et les messages, et mettre en place des campagnes publicitaires ciblées pour accroître votre visibilité et votre engagement en ligne.

En travaillant avec WebFiner, vous bénéficierez d'une approche personnalisée, d'un service client réactif et d'une expertise technique de pointe. Ils sont passionnés par leur travail et s'efforcent de fournir des résultats concrets à leurs clients. Que vous ayez besoin d'une refonte de site web, d'une stratégie de référencement ou d'une gestion complète de vos médias sociaux, WebFiner est l'agence web sur laquelle vous pouvez compter pour vous aider à réussir en ligne.",WebFiner
64ae7c57a3092dfc98734bc0,Supermarché hard discount du groupement des Mousquetaires,SAS AUNIBO
64ad71045ce5e480c277da24,Association du réseau Initiative France,INITIATIVE ESSONNE
64abcf6375ea4c253954ff2d,Ville de Montebourg (Manche 50),Commune de Montebourg
64abbc8eba517b79005357b6,"Avec l'autonomisation des jeunes, ceux qui ne sont pas scolarisés ou qui n'ont jamais été scolarisés, qui fournissent un soutien familial aux personnes âgées ou qui doivent s'occuper de leurs frères et sœurs, qui ont un statut socio-économique défavorisé, qui sont employés/employés ( Agriculture saisonnière, etc.), qui sont forcées de se marier à un jeune âge, qui sont monoparentales, pour s'assurer que les filles et les garçons réfugiés, déplacés et citoyens turcs ont accès à leurs droits, ressources et opportunités.",deniz neva
64a99a3aea23d50573622719,"Formadata est une société de conseil dédiée à l'univers de la formation (formation initiale, formation continue...) qui intervient pour le compte d'un large panel de clients : établissements d'enseignement supérieur publics, organismes de formations privés, administrations...
",Formadata
64a9952f01616b7252bdc1d6,Guillaume Marbeck est un artiste auteur Français spécialisé en photographie ,Guillaume Marbeck - Artiste Auteur
64a82570e378cca59c06c49e,"SAP LAbs France est le laboratoire de R&D de SAP en France avec 3 siters a Mougins, Paris et Caen.
Avec plus de 35 nationalités, SAP Labs France rassemble des personnes d'horizons et d'expériences différents pour transformer la créativité en logiciels puissants et aider le monde à mieux fonctionner. SAP Labs France est impliqué dans le développement de produits SAP clés, tels que SAP Business One ; dirige SAP Security Research ; et dispose des meilleures équipes de service client et d'assistance.
SAP Labs France a été la première organisation en Europe à passer à une flotte de véhicules 100 % électriques avec environ 300 véhicules, ses sites sont à la pointe de la transition énergétique (eg. panneaux solaires, batterie, batiment intelligent et capacité de recherche)",SAP LABS France
64a8142b8c127208d37e18f1,Mobilité électrique - IRVE,CITEOS BORDEAUX
64a7d62092130d3190905ea7,"Trouver toutes informations sur les dentistes, numero de tel, tarifs, horaires d ouvertures",Alexis AB
64a7cbc354624758a893785b,"Le Syndicat mixte départemental des communes des Landes (SYDEC) est un organisme public aux multiples compétences.

Créé à l’origine pour assurer la distribution de l’énergie électrique, il intervient aujourd’hui dans les domaines essentiels que sont les énergies, l’eau et l’assainissement, et l’aménagement numérique. Au service du territoire, il œuvre pour offrir à ses collectivités adhérentes les meilleurs services.

Le SYDEC rassemble les 327 communes landaises, l’ensemble des établissements de coopération intercommunale, le Conseil départemental des Landes et le Conseil régional de Nouvelle-Aquitaine. C’est un partenaire de confiance pour tous les élus landais.

Depuis plus de 85 ans, il n’a eu de cesse de démontrer sa capacité d’adaptation et son goût prononcé pour l’innovation, au regard des évolutions réglementaires, des nouvelles compétences confiées et d’un territoire constamment en mouvement. ",Syndicat d'Equipements des communes des landes
64a7b66c4f7a3b48259889ad,"LeGuide est un site web innovant qui offre une assistance en ligne et une vaste collection d'articles d'explication gratuits, dans le but d'aider les personnes à distance. Que vous cherchiez des réponses à vos questions, des conseils pratiques ou des informations détaillées sur divers sujets, LeGuide est là pour vous accompagner.

Dès que vous arrivez sur la page d'accueil de LeGuide, vous serez accueilli par une interface conviviale et intuitive, conçue pour simplifier votre expérience de navigation. Vous pouvez facilement parcourir les différentes catégories disponibles, telles que la technologie, la santé, le bricolage, l'éducation, la cuisine, les voyages et bien d'autres encore.

Le point fort de LeGuide réside dans sa section d'assistance en ligne. Vous pouvez poser des questions en temps réel à une équipe d'experts qualifiés qui se feront un plaisir de vous répondre rapidement et efficacement. Que ce soit pour résoudre un problème technique, obtenir des conseils professionnels ou simplement discuter avec quelqu'un qui comprend vos préoccupations, l'équipe d'assistance de LeGuide est là pour vous offrir un soutien personnalisé.

En plus de l'assistance en ligne, LeGuide propose une vaste collection d'articles d'explication gratuits rédigés par des professionnels dans leurs domaines respectifs. Ces articles sont conçus pour être accessibles à tous, même aux débutants, et couvrent une variété de sujets pertinents et intéressants. Vous pouvez apprendre à réparer votre voiture, à cuisiner de délicieuses recettes, à utiliser de nouveaux logiciels, à entretenir votre jardin, à gérer votre santé et bien plus encore, grâce aux articles détaillés et aux explications claires fournies par LeGuide.

Le site web LeGuide est également doté d'une fonctionnalité de recherche avancée, qui vous permet de trouver rapidement les informations que vous recherchez. Que vous utilisiez des mots-clés spécifiques ou que vous parcouriez les catégories, vous trouverez facilement les articles et l'assistance dont vous avez besoin.

En résumé, LeGuide est un site web complet qui offre une assistance en ligne et des articles d'explication gratuits pour aider les personnes à distance. Que vous ayez besoin d'une réponse rapide à une question urgente ou que vous souhaitiez approfondir vos connaissances sur un sujet spécifique, [LeGuide pour personnes âgées](https://clientespace.com/cat/social/personnes-agees/) est votre compagnon en ligne fiable et accessible. N'hésitez pas à explorer le site et à profiter des ressources disponibles pour améliorer votre vie quotidienne et élargir vos horizons.",LeGuide
64a6e20bd90cc0db11d26f79,réseau IRVE du TE90,IRVE Territoire d'énergie 90
64a683ad1101077d8166a731,"La douane est l'administration de la frontière et de la marchandise. Elle est chargée de surveiller les frontières, qu’elles soient terrestres, maritimes, physiques ou numériques, afin de protéger le territoire ; et du contrôle des marchandises pour protéger la population, l’environnement et l’économie.",Direction générale des Douanes et Droits indirects
64a5694b3af0794e15c14965,"L’ENSATT est un établissement public administratif sous tutelle du Ministère chargé de l'enseignement supérieur.
Ses statuts résultent du décret n°91-601 du 27 juin 1991 relatif à l'École nationale supérieure des arts et techniques du théâtre.
Y sont enseignés les métiers de comédien, administrateur, costumier, coupeur, directeur technique, écrivain dramaturge, metteur en scène, concepteur lumière, concepteur sonore, régisseur, et scénographe.
",Ecole Nationale Supérieure des Arts et Techniques du Théâtre
64a50fb0cb9f1a93fe2a80e1,"Nous accompagnons vos projets de transition écologique depuis plus de 7 ans.
Répondre à vos besoins et vous apporter les solutions les plus adaptées est notre priorité.
Nous proposons des brasseurs d'air, des chauffe-eau solaire, des panneaux photovoltaïque, le chauffage de piscine et plus récemment des scooters électrique.
Nos produits ont pour vocation de réduire votre empreinte carbone en vous proposant une alternative plus respectueuse de l'environnement.
Notre équipe de 35 salariés vous accompagnera de la prise d'information jusqu'à l'installation.
Pour l'entretient de vos équipements et pour d'éventuelles réparations, nos techniciens se tiendront aussi à votre disposition.",Zenith Solar Distribution
64a4916239ae30648bbfedef,"Votre partenaire en direction artistique (logo, charte graphique, création de contenu), site internet (site vitrine, e-commerce), audiovisuel (photo, vidéo)
",307Studio
64a2e09b00e23806f1ba2c2f,MAIRIE DE TRELON,MAIRIE DE TRELON
64a2db2d454247c885b28497,"Bienvenue chez Metadosi, l'agence SEO qui propulse votre présence en ligne vers de nouveaux sommets !

Chez Metadosi, nous sommes passionnés par le référencement naturel et nous nous efforçons d'aider nos clients à améliorer leur visibilité sur les moteurs de recherche. Nous comprenons l'importance cruciale d'une forte présence en ligne pour la croissance et le succès d'une entreprise.

Notre équipe d'experts en SEO est composée de professionnels hautement qualifiés et expérimentés, prêts à relever tous les défis. Nous suivons de près les dernières tendances et les évolutions des moteurs de recherche pour garantir que nos clients restent en tête de la concurrence.

Chez Metadosi, nous croyons en une approche personnalisée pour chaque projet. Nous travaillons en étroite collaboration avec nos clients pour comprendre leurs objectifs, leur secteur d'activité et leur public cible. Cette compréhension approfondie nous permet de développer des stratégies SEO sur mesure qui génèrent des résultats tangibles.

Nos services SEO complets comprennent l'analyse approfondie des mots-clés, l'optimisation technique du site, la création de contenu de haute qualité, la création de liens, l'optimisation locale et bien plus encore. Nous utilisons des techniques éprouvées et des outils avancés pour garantir que chaque aspect du référencement est pris en compte.

Chez Metadosi, nous mettons l'accent sur la transparence et la communication ouverte. Nous fournissons à nos clients des rapports réguliers et détaillés sur les progrès réalisés et les performances de leur site. Nous sommes également là pour répondre à toutes vos questions et vous tenir informé de toutes les mesures que nous prenons pour améliorer votre classement dans les moteurs de recherche.

Si vous recherchez une agence SEO qui combine l'expertise technique, la créativité et l'engagement envers le succès de ses clients, vous êtes au bon endroit. Contactez Metadosi dès aujourd'hui et laissez-nous vous aider à vous démarquer en ligne et à attirer davantage de visiteurs qualifiés vers votre site web. Ensemble, nous pouvons réaliser des résultats extraordinaires !",Metadosi : Agence SEO
64a2c283cd5f33e86f03633a,"Créé en 1979, le cabinet Berthier & Associés est à ce jour un acteur majeur du monde de l'estimation immobilière et foncière , et réunit une équipe d'experts, qualifiés, expérimentés, qui sont agréés par les tribunaux et organisations professionnelles . Les experts appliquent des méthodes d’évaluation précises, conformes aux préconisations internationales (R.I.C.S.) et européennes (Charte Européenne de l’Expertise ) qui imposent un juste diagnostic.

En 1979 Gérard Berthier, alors évaluateur à la SAFER, est devenu rapidement expert près la cour d’appel de Chambéry en estimation immobilière et foncière. En 1983 le cabinet Berthier devient le spécialiste de la transmission patrimoniale et de l’évaluation des biens de famille.

Le cabinet s’est ensuite développé en 2006 avec l’arrivée de Franck Chanal et en 2007 avec Isabelle Sadoux. Ces derniers étant respectivement pour Franck Chanal, expert près la cour d’appel de Grenoble et de la cour administrative d’appel de Lyon et Isabelle Sadoux, expert RICS, expert près la cour d’appel de Chambéry, ancien expert près la cour d’appel de Versailles. Ces nouvelles compétences ont permis le développement d’un pôle spécialisé dans l’immobilier commercial, touristique (évaluation de loyers commerciaux, d’indemnité d’éviction et dans le contentieux de la valeur en matière fiscale.",Berthier & Associés
64a29ffdc32f65ac03cb6dc8,"Tomba kanssa est une ville et une sous-préfecture de Guinée rattaché à la préfecture de Siguiri et a la région de kankan,",Tomba kanssa 
64a28a9497ea3bc663ecf264,"CasaGoGo est un moteur de recherche d'annonces immobilières qui permet de trouver efficacement des annonces parmi des milliers de sites internet d'agences et des site spécialisés

CasaGoGo c'est également un ensemble d'outils d'aide à la décision d'achat, des statistiques sur les annonces et les ventes réelles, des graphiques de répartition des biens sur le secteur recherché, un indicateur de prix exclusif sur chaque annonce et des alertes en temps réel !
",CasaGoGo
64a284ff01a7110685a8416b,Autorité Organisatrice de la Distribution d'Energie dans l'Oise.,Syndicat d'Energie de l'Oise
64a27c6bd72b1907c36e4845,"Montperreux est une commune française située dans le département du Doubs en région Bourgogne-Franche-Comté. Située sur la rive droite du Lac Saint-Point, elle est composée des villages de Montperreux, Chaon, Chaudron et des deux lieux-dits de la Source Bleue et de La Grange Colin.

La commune  s'étend au nord-est jusqu'à la vallée du ruisseau de Fontaine Ronde avec un sommet à 1112 m d'altitude. Au sud-ouest se trouve la source bleue dont le ruisseau fait limite avec la commune de Malbuisson.

Sa double situation lacustre et montagnarde au sein d'une nature préservée ainsi qu'un développement économique raisonné et respectueux de l'environnement en font un cadre de vie apprécié, propice au tourisme et aux multiples activités sportives et de loisirs praticables en toutes saisons.   ",Commune de Montperreux
64a1822e9e706088c0d6f023,Conception et développement web/data ,Unutsi
